MMM    3M
ABBN   ABB
ACN    Accenture
ACLN   Accelleron
AC     Accor
ATVI   Activision Blizzard
ADEN   Adecco
ADS    Adidas
ADBE   Adobe
AF FP  Air France-KLM
Al     Air Liquide
ABNB   Airbnb
AIR    Airbus
ALC    Alcon
ALV    Allianz
GOOG   Alphabet (Google)
ALO    Alstom
AMZN   Amazon
AMD    AMD
AAL    American Airlines
AXP    American Express
AMGN   Amgen
AMS    Ams-osram
BUD    Anheuser-Busch
AAPL   Apple
AMAT   Applied Materials
ASML   ASML
AML    Aston Martin
AZN    AstraZeneca
T      AT&T
CS     AXA
BALN   Baloise
BAC    Bank Of America
BCGE  Banque Cantonale de Geneve 
BCVN  Banque Cantonale Vaudoise 
BAS   BASF
BSKP  Basler Kantonalbank
BAYN  Bayer 
BELL  Bell
BRK/B Berkshire Hathaway
BEKN  Berner Kantonalbank
BYND  Beyond Meat
BHP   BHP
BNTX  Biontech
BKW   BKW Energie
BLK   Blackrock
SQ    Block 
BMW   BMW 
BNP   BNP Paribas
BOBNN Bobst 
BA    Boeing
BKNG  Booking
BVB   Borussia Dortmund
BATS  British American Tobacco 
BP.   British Petroleum
BMBL  Bumble
BRBY  Burberry
CALN  Calida 
CCL   Carnival
CAT   Caterpillar
CVX   Chevron
CDI   Christian Dior
CSCO  Cisco 
C     Citigroup
CLN   Clariant
KO    Coca-Cola
COIN  Coinbase
CMCSA Comcast
CBK   Commerzbank
COST  Costco
ACA   Credit Agricole
CSGN  Grigg. Sui
5CV GRCurevac
DAI      Daimler (Mercedes-Benz) 
BN       Danone
DELL     Dell
DAL      Delta Air Lines
DBK      Deutsche Bank 
DPW      Deutsche Post
DTE      Deutsche Telekom
DUFN     Dufry 
EOAN     E.ON 
EZJ      Ea syjet
EBAY     Ebay 
EDF      EDF 
EA       Electronic Arts
LLY      Eli Lilly
EMMN     Emmi 
EMSN     EMS-Chemie
ENEL     Enel 
ENGI     Engie
ENI      Eni
EL       Estee Lauder
ETSY     Etsy 
EXPE     Expedia
XOM      Exxon Mobil
FDX      Fedex
RACE     Ferrari
FI-N     Fischer
FHZN     Flughafen Zurich
FL       Foot Locker
F        Ford 
GPS      GAP 
GEBN     Geberit
GE       General Electric
GIS      General Mills
GM       General Motors 
GIVN     Givaudan 
GSK      GlaxoSmithKline 
GLEN     Glencore
GS       Goldman Sachs
GT 
GPRO     Gopro
HOG            Harley Davidson
HAS            Hasbro
HEIO           Heineken 
HFG            Hello Fresh 
HELN           Helvetia
RMS            Hermes
HOLN           Holcim
HD             Home Depot 
HMC            Honda
HON            Honeywell 
HSBA           HSBC
BOSS           Hugo Boss 
IBM            IBM
IDIA           Idorsia
IMPN           Implenia
INGA           ING
INTC           Intel
INTU           Intuit
DE             John Deere 
JNJ            Johnson & Johnson
JPM            JP Morgan Chase
BAER           Julius Baer
JUVE           Juventus Football club
K              Kellogg's
KER            Kering
KMB            Kimberly-Clark
KHC            Kraft Heinz 
KUD            Kudelski
KNIN           KOhne+Nagel
OR             L'Oreal
LIN            Linde
LISN           Lindt
LLOY           Lloyds Banking
LMT            Lockheed Martin
LOGN           L
LONN           LonzaI 
LCID  Lucid motors
LHA   Lufthansa
LULU  Lululemon
LUKN  Luzerner Kantonalbank
MC    LVMH
MSGE  Madison Square Garden Sports 
MANU  Manchester United
MKS   Marks & Spencer
MAR   Marriott
MA    Mastercard
MTCH  Match Group (Tinder) 
MCD   McDonald's
MRK   Merck
